"산업및매출액규모별(1)",산업및매출액규모별(2),산업및매출액규모별(3),2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"산업및매출액규모별(1)",산업및매출액규모별(2),산업및매출액규모별(3),응답기업수 (개),CEO/임원의 정보화에 대한 관심(필요성) 수준 (%),CEO/임원의 정보화에 대한 관심(필요성) 수준 (%),CEO/임원의 정보화에 대한 관심(필요성) 수준 (%),CEO/임원의 정보화에 대한 관심(필요성) 수준 (%),CEO/임원의 정보화에 대한 관심(필요성) 수준 (%),CEO/임원의 정보화 지원 의지 (%),CEO/임원의 정보화 지원 의지 (%),CEO/임원의 정보화 지원 의지 (%),CEO/임원의 정보화 지원 의지 (%),CEO/임원의 정보화 지원 의지 (%),CEO/임원의 정보화 투자계획 및 전략 수립 추진 수준,CEO/임원의 정보화 투자계획 및 전략 수립 추진 수준,CEO/임원의 정보화 투자계획 및 전략 수립 추진 수준,CEO/임원의 정보화 투자계획 및 전략 수립 추진 수준,CEO/임원의 정보화 투자계획 및 전략 수립 추진 수준,CEO/임원의 자사에 적합한 정보화 솔루션에 대한 지식,CEO/임원의 자사에 적합한 정보화 솔루션에 대한 지식,CEO/임원의 자사에 적합한 정보화 솔루션에 대한 지식,CEO/임원의 자사에 적합한 정보화 솔루션에 대한 지식,CEO/임원의 자사에 적합한 정보화 솔루션에 대한 지식,직원의 정보화에 대한 관심(필요성) 수준,직원의 정보화에 대한 관심(필요성) 수준,직원의 정보화에 대한 관심(필요성) 수준,직원의 정보화에 대한 관심(필요성) 수준,직원의 정보화에 대한 관심(필요성) 수준,직원의 정보화 활용지식 습득 노력,직원의 정보화 활용지식 습득 노력,직원의 정보화 활용지식 습득 노력,직원의 정보화 활용지식 습득 노력,직원의 정보화 활용지식 습득 노력
"산업및매출액규모별(1)",산업및매출액규모별(2),산업및매출액규모별(3),소계,매우 낮음,낮음,보통,높음,매우 높음,매우 낮음,낮음,보통,높음,매우 높음,매우 낮음,낮음,보통,높음,매우 높음,매우 낮음,낮음,보통,높음,매우 높음,매우 낮음,낮음,보통,높음,매우 높음,매우 낮음,낮음,보통,높음,매우 높음
"전체",소계,소계,4000,0.4,9.3,11.1,45.4,34.0,2.1,10.7,10.6,48.3,28.4,4.3,10.9,9.2,47.7,28.0,4.0,10.7,10.0,48.4,26.9,2.7,7.3,11.5,53.3,25.3,2.4,13.6,12.0,50.3,21.7
"전체",5~20억원 미만,소계,692,0.7,11.4,9.8,42.5,35.5,2.6,11.6,10.1,46.5,29.2,4.6,12.4,7.9,46.5,28.5,3.9,10.5,9.4,48.8,27.3,2.9,8.7,10.7,52.9,24.9,3.5,14.6,10.1,50.0,21.8
"전체",20~50억원 미만,소계,719,0.4,9.7,12.4,46.7,30.7,2.6,12.8,12.1,45.6,26.8,5.6,12.1,9.6,45.8,27.0,4.5,12.2,10.2,48.3,24.9,3.2,8.6,12.5,51.9,23.8,2.6,15.0,11.5,49.0,21.8
"전체",50~80억원 미만,소계,452,0.4,9.1,11.3,46.5,32.7,2.4,12.4,9.3,48.7,27.2,4.9,11.1,11.1,46.2,26.8,5.1,13.1,7.7,46.2,27.9,2.9,6.9,11.7,51.3,27.2,2.4,14.4,13.1,48.5,21.7
"전체",80~120억원 미만,소계,428,0.7,7.9,13.3,41.1,36.9,2.1,9.3,12.4,47.7,28.5,4.2,11.9,10.5,45.8,27.6,4.9,10.0,10.7,44.9,29.4,3.5,7.5,12.4,52.6,24.1,2.3,12.6,11.7,54.0,19.4
"전체",120~200억원 미만,소계,493,0.4,8.1,11.4,48.1,32.0,1.6,8.7,12.4,50.9,26.4,4.3,10.5,8.9,47.3,29.0,3.4,9.5,11.2,48.7,27.2,3.0,8.5,11.2,53.3,23.9,1.8,14.4,12.4,50.7,20.7
"전체",200~500억원 미만,소계,707,0.1,7.4,11.3,45.0,36.2,1.6,9.8,9.6,47.5,31.5,3.3,8.9,9.6,49.5,28.7,2.7,9.5,10.7,49.9,27.2,2.0,4.5,10.7,55.7,27.0,1.6,11.9,12.7,49.6,24.2
"전체",500~1500억원 미만,소계,509,0.0,10.6,8.1,47.7,33.6,1.6,9.4,8.4,52.8,27.7,3.3,8.8,7.1,52.8,27.9,3.7,10.2,9.8,50.7,25.5,1.4,6.1,11.8,54.8,25.9,2.6,12.0,12.8,51.9,20.8
"전체",제조업,5~20억원 미만,318,1.6,15.7,12.9,37.4,32.4,3.5,15.1,15.1,38.7,27.7,4.4,17.9,12.6,42.1,23.0,4.7,12.9,11.0,45.9,25.5,3.5,13.2,14.8,45.3,23.3,4.4,19.2,12.9,42.8,20.8
"전체",제조업,20~50억원 미만,346,0.6,11.8,17.6,40.8,29.2,3.2,12.7,18.2,41.3,24.6,5.5,15.0,15.0,38.4,26.0,4.6,14.2,14.2,46.8,20.2,4.0,11.0,19.4,42.8,22.8,2.3,13.6,17.6,48.6,17.9
"전체",제조업,50~80억원 미만,224,0.9,9.8,15.6,44.2,29.5,3.6,14.7,15.2,42.0,24.6,4.9,14.3,16.1,41.5,23.2,4.5,13.4,11.2,45.5,25.4,4.5,9.8,16.5,49.6,19.6,3.1,15.2,18.3,46.0,17.4
"전체",제조업,80~120억원 미만,211,1.4,8.5,19.0,37.9,33.2,1.9,9.0,19.0,44.5,25.6,4.7,17.1,16.1,39.3,22.7,5.7,12.3,16.1,39.3,26.5,4.7,10.4,16.6,46.9,21.3,2.4,18.0,17.5,46.4,15.6
"전체",제조업,120~200억원 미만,236,0.4,10.6,17.8,42.4,28.8,1.7,9.3,17.8,49.2,22.0,2.1,15.3,14.0,44.1,24.6,1.7,13.6,15.3,47.0,22.5,3.0,13.1,15.7,47.5,20.8,2.5,17.4,14.4,49.2,16.5
"전체",제조업,200~500억원 미만,363,0.0,7.4,14.3,44.4,33.9,1.1,9.9,14.3,47.4,27.3,3.3,10.5,14.0,48.5,23.7,2.2,9.6,13.2,49.9,25.1,2.2,5.5,14.6,51.2,26.4,1.7,11.6,18.2,47.9,20.7
"전체",제조업,500~1500억원 미만,286,0.0,8.4,11.5,49.3,30.8,1.4,8.4,11.9,54.9,23.4,3.1,9.1,9.4,52.1,26.2,2.4,9.4,12.2,53.1,22.7,1.0,6.6,17.1,49.7,25.5,1.7,9.8,18.2,52.8,17.5
"전체",건설업,5~20억원 미만,85,0.0,9.4,16.5,49.4,24.7,1.2,14.1,3.5,64.7,16.5,5.9,9.4,4.7,56.5,23.5,7.1,8.2,9.4,55.3,20.0,4.7,3.5,4.7,57.6,29.4,3.5,5.9,7.1,70.6,12.9
"전체",건설업,20~50억원 미만,76,0.0,9.2,13.2,56.6,21.1,0.0,18.4,6.6,52.6,22.4,5.3,5.3,5.3,67.1,17.1,3.9,9.2,7.9,50.0,28.9,1.3,5.3,0.0,68.4,25.0,5.3,11.8,7.9,52.6,22.4
